ID,Code,Lesson,Structure,Pinyin,English Equivalent,复习,Example,Example Pinyin,Example Translation,URL
12,1.05.3,Lesson,AGE 了,AGE le ,became AGE,,我40岁了。,wǒ40 suì le。 ,I’m 40 years old.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843845
13,1.05.4,Lesson,多大,duōdà ,how old,,你女儿多大了？,nǐ nǚ'ér duōdà le？ ,How old is your daughter?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843844
14,1.06.1,Lesson,会 V,huì V ,know how to V,,我会写。,wǒ huì xiě。 ,I know how to write.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2844550
15,1.06.2,Lesson,很,hěn ,very,,我很好,wǒ hěn hǎo ,I am good.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843971
16,1.06.3,Lesson,怎么 V,zěnme V ,how to V,,这个怎么读?,zhège zěnme dú? ,How do you read this?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843972
17,1.07.1,Lesson,月、号/日、星期,yuè、 hào/ rì、 xīngqī ,(telling dates),,九月二号/日星期四,Jiǔyuè èrhào/ rì Xīngqīsì ,Thursday September 2,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843976
18,1.07.2,Lesson,,,(omitting 是),,我汉语老师33岁。,wǒ Hànyǔ lǎoshī33 suì。 ,My Chinese teacher is 33.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843973
19,1.07.3,Lesson,去 PLACE V,qù PLACE V ,go to PLACE to do V,,我去学校学习。,wǒ qù xuéxiào xuéxí。 ,I go to school to study.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843974
20,1.08.1,Lesson,想,xiǎng ,to want,,我想看书,wǒ xiǎng kànshū ,I want to read books.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843981
21,1.08.2,Lesson,多少 N,duōshao N ,how much N,,你有多少汉语老师?,nǐ yǒu duōshao Hànyǔ lǎoshī? ,How many Chinese teachers do you have?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843978
22,1.08.3,Lesson,个,gè ,(measure word),,五个学生,wǔ gè xuésheng ,5 students,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843979
23,1.08.3,Lesson,口,kǒu ,(measure word),,我家有五口人。,wǒ jiā yǒu wǔ kǒu rén。 ,There are 5 people in our family.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843979
24,1.08.4,Lesson,元／块,yuán／ kuài ,(currency),,一元／块,yīyuán／ kuài ,one yuan,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843980
25,1.09.1,Lesson,在,zài ,at,,他在椅子下面,tā zài yǐzi xiàmian ,He’s under the chair.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863638
26,1.09.2,Lesson,哪儿？,nǎr？ ,where,,我的杯子在哪儿?,wǒ de bēizi zàinǎr? ,Where is my cup?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863635
27,1.09.3,Lesson,在 PLACE V,zài PLACE V ,V at PLACE,,我在朋友家喝茶。,wǒ zài péngyou jiā hē chá。 ,I am having tea at my friend’s home.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863639
28,1.09.4,Lesson,Q 呢,Q ne ,I wonder,,他在哪儿呢?,tā zàinǎr ne? ,"Where is he, I wonder?",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863634
29,1.09.4,Lesson,N 呢？,N ne？ ,where is N,,我的杯子呢?,wǒ de bēizi ne? ,Where is my cup?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863634
30,1.10.1,Lesson,PLACE 有 N,PLACE yǒu N ,there is N at PLACE,,椅子下面有一只小狗,yǐzi xiàmian yǒu yī zhǐ xiǎogǒu ,There is a dog under the chair.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863637
31,1.10.1,Lesson,PLACE 没有 N,PLACE méiyǒu N ,there isn’t N at PLACE,,这儿没有人。,zhèr méiyǒu rén。 ,There isn’t anyone here.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863637
32,1.10.2,Lesson,和,hé ,and,,爸爸、妈妈和我,bàba、 māma hé wǒ ,"dad, mom and I",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863641
33,1.10.3,Lesson,能,néng ,can,,我能坐这儿吗?。,wǒ néng zuò zhèr ma?。 ,Can I sit here?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863640
34,1.10.4,Lesson,请 V,qǐng V ,please V,,请坐。,qǐng zuò。 ,Please sit.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863643
35,1.11.1,Lesson,# 点 # 分,# diǎn # fēn ,# hour # minute,,十一点十分,shí yīdiǎn shífēn ,11:10,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863644
36,1.11.1,Lesson,上午／下午,shàngwǔ／ xiàwǔ ,AM/PM,,下午三点十分,xiàwǔ sān diǎn shífēn ,3:10 PM,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863644
37,1.11.2,Lesson,S TIME V,S TIME V ,(time phrase),,妈妈六点做饭。,māma liù diǎn zuòfàn。 ,Mom cooks at six.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863645
38,1.11.2,Lesson,TIME S V,TIME S V ,(time phrase),,七点我吃饭。,qī diǎn wǒ chīfàn。 ,I eat at seven.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863645
39,1.11.3,Lesson,TIME 前,TIME qián ,before TIME,,星期五前,Xīngqīwǔ qián ,before Friday,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863647
40,1.11.3,Lesson,DURATION 前,DURATION qián ,DURATION ago,,一个星期前,yī gè xīngqī qián ,a week ago,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863647
41,1.12.1,Lesson,N 怎么样？,N zěnmeyàng？ ,how is N?,,你的汉语怎么样？,nǐ de Hànyǔ zěnmeyàng？ ,How is your Chinese?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863649
42,1.12.2,Lesson,(的),( de) ,(omission of 的),,我身体不太好。,wǒ shēntǐ bùtàihǎo。 ,My health isn’t very good.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863650
43,1.12.3,Lesson,太 A (了),tài A ( le) ,too A,,天气太冷 (了)。,tiānqì tài lěng ( le)。 ,The weather’s too cold.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863651
44,1.12.3,Lesson,(不) 太 A,( bù) tài A ,not too A,,我身体不太好。,wǒ shēntǐ bùtàihǎo。 ,My health is not too good.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863651
45,1.12.4,Lesson,会 V,huì V ,will V,,你会回家吗？,nǐ huì huíjiā ma？ ,Will you come home?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863652
46,1.13.1,Lesson,喂,wèi ,hello,,喂，李老师在家吗？,wèi， lǐ lǎoshī zài jiā ma？ ,"Hello, is Teacher Li home?",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863654
47,1.13.2,Lesson,在 V (呢),zài V ( ne) ,V-ing,,我在睡觉 (呢)。,wǒ zài shuìjiào ( ne)。 ,I’m sleeping.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863656
48,1.13.2,Lesson,没 在 V (呢),méi zài V ( ne) ,not V-ing,,他们没在看电视 (呢)。,tāmen méi zài kàn diànshì ( ne)。 ,They’re not watching TV.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863655
49,1.13.3,Lesson,1 (yāo),1 (yāo) ,(1 in telephony),,138-0156-7749,138-0156-7749 ,1 reads as yāo.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863655
50,1.13.4,Lesson,V 吧。,V ba。 ,feel free to V,,这儿没有人，坐吧。,zhèr méiyǒu rén， zuò ba。 ,"Nobody’s here, (feel free to) sit.",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863657
51,1.14.1,Lesson,V O 了,V O le ,have V’ed O,,他去学校了。,tā qù xuéxiào le。 ,He went to learn how to drive.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
52,1.14.1,Lesson,V 了 O,V le O ,have V’ed O,,我买了不少衣服。,wǒ mǎi le bùshǎo yīfu。 ,I bought a lot of clothes.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
53,1.14.1,Lesson,没 V O,méi V O ,have not V’ed O,,她没去商店。,tā méi qù shāngdiàn。 ,She didn’t go to the store.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863659
54,1.14.2,Lesson,TIME 后,TIME hòu ,after TIME,,五点后,wǔ diǎn hòu ,after 5,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863661
55,1.14.2,Lesson,DURATION 后,DURATION hòu ,after DURATION,,四十分钟后,sìshí fēnzhōng hòu ,after 40 minutes,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863661
56,1.14.3,Lesson,……啊,…… ā ,(exclamation),,好啊。是啊。,hǎo ā。 shì ā。 ,Sure! Yeah!,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863660
57,1.14.4,Lesson,都 N,dōu N ,both Ns,,我们都是中国人。,wǒmen dōu shì Zhōngguórén。 ,We both are Chinese.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863662
58,1.15.1,Lesson,S 是 MANNER V 的,S shì MANNER V de ,it is MANNER that S V,,我们是开车来的。,wǒmen shì kāichē lái de。 ,We drove here. (Lit. It is [by] driving that we came here.),https://chinesezerotohero.teachable.com/courses/188342/lectures/2863664
59,1.15.2,Lesson,年,nián ,year,,二零一七年,èr líng yī qī nián ,Year 2017,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863666
60,2.01.1,Lesson,要,yào ,"want to, will",,王芳要学英语。,wáng fāng yào xué Yīngyǔ。 ,Wang Fang wants to / will learn English.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949023
61,2.01.2,Lesson,最,zuì ,the most,,它的眼睛最漂亮。,tā de yǎnjing zuì piàoliang。 ,Its eyes are the prettiest.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949025
62,2.01.3,Lesson,几,jǐ ,several,,几本书,jǐ běn shū ,several books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
63,2.01.3,Lesson,十几,shíjǐ ,(any # from 11 to 19),,十几本书,shíjǐ běn shū ,a dozen or more books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
64,2.01.3,Lesson,几十,jǐ shí ,tens of,,几十本书,jǐ shí běn shū ,tens of people,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
65,2.01.3,Lesson,# 几/多,# jǐ/ duō ,over #,,二十几本书/二十多本书,èrshí jǐ běn shū/ èrshíduō běn shū ,twenty something books,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
66,2.01.3,Lesson,# M 多 月/星期,# M duō yuè/ xīngqī ,over # of months/weeks,,两个多月，三个多星期,liǎng gè duō yuè， sān gè duō xīngqī ,"over two months, over three weeks",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
67,2.02.1,Lesson,V不V or A不A,V bùV or A bùA ,(questions),,我去商店，你去不去？,wǒ qù shāngdiàn， nǐ qù bù qù？ ,"I’m going to the shop, are you going?",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949022
68,2.02.1,Lesson,是不是……？,shìbùshì……？ ,Is it true that…?,,你是不是喜欢运动？,nǐ shìbùshì xǐhuan yùndòng？ ,Is it true that you like to exercise?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949020
69,2.02.2,Lesson,每 M N (都) V,měi M N ( dōu) V ,every N V,,你每个星期六(都)工作吗？,nǐ měi gè Xīngqīliù( dōu) gōngzuò ma？ ,Do you work every Saturday (without exception)?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949026
70,2.02.3,Lesson,多 A,duō A ,how A,,他多高？,tā duō gāo？ ,How tall is he?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949027
71,2.03.1,Lesson,的 (N),de (N) ,(omitting nouns after 的),,这个杯子是昨天买的(杯子)。,zhège bēizi shì zuótiān mǎi de( bēizi)。 ,This cup is the one (cup) that was bought yesterday.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949031
72,2.03.2,Lesson,一下,yīxià ,once (quickly/easily),,你去给老师送一下报纸。,nǐ qù gěi lǎoshī sòng yīxià bàozhǐ。 ,Go and deliver the newspaper to your teacher.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949030
73,2.03.3,Lesson,真,zhēn ,"very, truly",,牛奶真好喝啊！,niúnǎi zhēn hǎohē ā！ ,The milk is so tasty!,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949033
74,2.04.1,Lesson,O 是 S V 的,O shì S V de ,it’s S who V’ed O,,这本书是我买的。,zhè běn shū shì wǒ mǎi de。 ,(It’s) I (who) bought the book.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949035
75,2.04.2,Lesson,……的时候,…… de shíhou ,the time when …,,我18岁的时候来过北京。,wǒ18 suì de shíhou lái guò Běijīng。 ,I’ve come to Beijing when I was 18.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949037
76,2.04.3,Lesson,已经 V/A 了,yǐjīng V/A le ,already V/A,,我已经工作两年多了。,wǒ yǐjīng gōngzuò liǎng nián duō le。 ,I already worked for over two years.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949036
77,2.05.1,Lesson,就,jiù ,just V then,,你不想去，就在家休息吧。,nǐ bùxiǎng qù， jiù zài jiā xiūxi ba。 ,"If you don't want to go, just rest at home then.",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949040
78,2.05.2,Lesson,还 A,hái A ,somewhat A,,昨天的考试还好。,zuótiān de kǎoshì háihǎo。 ,Yesterday’s test was so-so (lit. somewhat OK).,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949041
79,2.05.3,Lesson,有点儿 A,yǒudiǎnr A ,a bit A,,今天天气有点儿冷。,jīntiān tiānqì yǒudiǎnr lěng。 ,It's a bit cold today.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949042
80,2.06.1,Lesson,怎么,zěnme ,how come,,你怎么不高兴?,nǐ zěnme bù gāoxìng? ,How come you’re unhappy?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949048
81,2.06.2,Lesson,N M M 都,N M M dōu ,every N,,同学个个都很高兴。,tóngxué gègè dōu hěn gāoxìng。 ,Every student is very happy.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949045
82,2.06.3,Lesson,因为……所以……,yīnwèi…… suǒyǐ…… ,because… so…,,因为不好吃，所以我不吃。,yīnwèi bùhǎo chī， suǒyǐ wǒ bù chī。 ,"Because it’s not tasty, so I won’t eat it.",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949046
83,2.07.1,Lesson,还 V,hái V ,still V-ing,,八点了，他还在睡觉。,bā diǎn le， tā hái zài shuìjiào。 ,"It’s 8, he’s still sleeping.",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949051
84,2.07.1,Lesson,还没 V,hái méi V ,still haven’t V’ed,,你怎么还没吃饭？,nǐ zěnme hái méi chīfàn？ ,How come you still haven’t eaten?,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949051
85,2.07.2,Lesson,TIME 就 V,TIME jiù V ,V as early as TIME,,同学们七点半就来教室了。,tóngxué men qī diǎn bàn jiù lái jiàoshì le。 ,The students got to the classroom as early as 7:30.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949052
86,2.07.3,Lesson,N1 离 N2 DISTANCE,N1 lí N2 DISTANCE ,N1 is DISTANCE away from N2,,学校离机场20多公里。,xuéxiào lí jīchǎng20 duō gōnglǐ。 ,The school is over 20 km away from the airport.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949050
87,2.07.4,Lesson,……呢!,…… ne! ,(adding emphasis),,他还在学习呢！,tā hái zài xuéxí ne！ ,He is still studying!,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949053
88,2.08.1,Lesson,……好吗?,…… hǎo ma? ,…okay?,,你明天下午给我打电话好吗？,nǐ míngtiān xiàwǔ gěi wǒ dǎdiànhuà hǎo ma？ ,"Call me tomorrow afternoon, okay?",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949057
89,2.08.2,Lesson,再 V,zài V ,again,,你再看一下这本书吧。,nǐ zài kàn yīxià zhè běn shū ba。 ,Take another look at this book.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949056
90,2.08.2,Lesson,再 V,zài V ,then,,让我想想再告诉你。,ràng wǒ xiǎng xiǎng zài gàosu nǐ。 ,"Let me think about it, then I’ll let you know.",https://chinesezerotohero.teachable.com/courses/191818/lectures/2949056
91,2.08.2,Lesson,TIME 再 V,TIME zài V ,V only until TIME,,我明天再去。,wǒ míngtiān zài qù。 ,I’ll go (only until) tomorrow.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949056
92,2.08.3,Lesson,请/让/叫 O V,qǐng/ ràng/ jiào O V ,invite/let/ask O to V,,我请你吃饭。,wǒ qǐng nǐ chīfàn。 ,I’m inviting you to have a meal.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949058
93,2.08.4,Lesson,V V,V V ,V for a bit,,你看看这几件衣服。,nǐ kànkan zhè jǐ jiàn yīfu。 ,Take a look at these clothes.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949059
94,2.08.4,Lesson,V一V,V yīV ,V for a bit,,你看一看这几件衣服。,nǐ kànyīkàn zhè jǐ jiàn yīfu。 ,Take a look at these clothes.,https://chinesezerotohero.teachable.com/courses/191818/lectures/2949059
95,2.09.1,Lesson,V result,V result ,(result complements),,我看到你的女朋友了。,wǒ kàn dào nǐ de nǚpéngyou le。 ,I saw your girlfriend.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949092
96,2.09.1,Lesson,没 V result,méi V result ,(result complements),,我没看到你的女朋友。,wǒ méi kàn dào nǐ de nǚpéngyou。 ,I didn’t see your girlfriend.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949092
97,2.09.2,Lesson,从 N1 到 N2,cóng N1 dào N2 ,from N1 to N2,,从老人到孩子都喜欢吃苹果。,cóng lǎorén dào háizi dōu xǐhuan chī píngguǒ。 ,"From old to young, all like to eat apples.",https://chinesezerotohero.teachable.com/courses/191830/lectures/2949088
98,2.09.3,Lesson,第 # M N,dì # M N ,#-th N,,第四件事情还没做。,dì sì jiàn shìqing hái méi zuò。 ,We haven't done the fourth thing yet.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949090
99,2.10.1,Lesson,不要/别 V,bùyào/ bié V ,don’t do V,,不要/别玩儿手机！,bùyào/ bié wánr shǒujī！ ,Don’t play with your phone!,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949093
100,2.10.1,Lesson,不要/别 V 了,bùyào/ bié V le ,stop doing V,,不要/别玩儿手机了！,bùyào/ bié wánr shǒujī le！ ,Stop playing with your phone!,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949093
101,2.10.2,Lesson,对 N A,duì N A ,Is A for N,,学汉语对在中国工作有帮助。,xué Hànyǔ duì zài Zhōngguó gōngzuò yǒubāngzhù。 ,Learning Chinese is helpful for working in China.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949094
102,2.11.1,Lesson,S V 的 N,S V de N ,the N which S V’ed,,我妈妈做的饭非常好吃。,wǒ māma zuò de fàn fēicháng hǎochī。 ,The food that mom makes is very delicious.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949099
103,2.11.2,Lesson,N1 比 N2 A,N1 bǐ N2 A ,N2 is more A than N1,,哥哥比姐姐高。,gēge bǐ jiějie gāo。 ,My (older) brother is taller than my (older) sister.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949098
104,2.11.2,Lesson,N1 没有 N2 A,N1 méiyǒu N2 A ,N2 is not as A than N1,,哥哥没有姐姐高。,gēge méiyǒu jiějie gāo。 ,My (older) brother is not as tall as my (older) sister.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949098
105,2.11.3,Lesson,可能,kěnéng ,probably,,她可能不会唱歌。,tā kěnéng bùhuì chànggē。 ,Maybe she cannot sing.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949097
106,2.12.1,Lesson,V 得 A,V dé A ,(using adverbs),,我跑得很快。,wǒ pǎo dehěn kuài。 ,I run very quickly.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949102
107,2.12.1,Lesson,V O V 得 A,V O V dé A ,(using adverbs),,姐姐唱歌唱得很好。,jiějie chànggē chàng dehěn hǎo。 ,My (older) sister sings brilliantly.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949102
108,2.12.2,Lesson,V (O V) 得 比 N A,V (O V) dé bǐ N A ,V (O) more A than N,,他学(汉语学)得比我快。,tā xué( Hànyǔ xué) dé bǐ wǒ kuài。 ,He learns (Chinese) more quickly than I do.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949103
109,2.12.2,Lesson,比 N V (O V) 得 A,bǐ N V (O V) dé A ,V (O) more A than N,,他比我学(汉语学)得快。,tā bǐ wǒ xué( Hànyǔ xué) dé kuài。 ,He learns (Chinese) more quickly than I do.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949103
110,2.13.1,Lesson,V 着 O,V zhe O ,V-ing O,,他们穿着西服。,tāmen chuānzhuó xīfú。 ,They are wearing suites.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949107
111,2.13.1,Lesson,没 V 着 O,méi V zhe O ,not V-ing O,,他没拿着铅笔。,tā méi ná zhe qiānbǐ。 ,He’s not holding a pencil.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949107
112,2.13.2,Lesson,N 不是……吗？,N bùshì…… ma？ ,is N not…,,你不是北京人吗？,nǐ bùshì Běijīngrén ma？ ,Aren’t you a Beijinger?,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949108
113,2.13.3,Lesson,往 DIRECTION V,wǎng DIRECTION V ,V toward DIRECTION,,从这儿一直往东走。,cóng zhèr yīzhí wǎng dōng zǒu。 ,Walk straight toward the east from here.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949106
114,2.14.1,Lesson,V 过,V guò ,V’ed before,,我去过中国。,wǒ qù guò Zhōngguó。 ,I've been to China.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949111
115,2.14.1,Lesson,没有 V 过,méiyǒu V guò ,haven’t V’ed,,他们没有来过我家。,tāmen méiyǒu lái guò wǒ jiā。 ,They have never been to my place.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949111
116,2.14.2,Lesson,虽然……但是,suīrán…… dànshì ,although…,,虽然是晴天，但是还是很冷。,suīrán shì qíngtiān， dànshì háishi hěn lěng。 ,"Even though it's sunny, it's still cold.",https://chinesezerotohero.teachable.com/courses/191830/lectures/2949113
117,2.14.3,Lesson,V 过 # 次 O,V guò # cì O ,V’ed O # times,,他们坐过三次飞机。,tāmen zuò guò sāncì fēijī。 ,They have taken a plane three times.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949112
118,2.14.3,Lesson,V 过 PLACE # 次,V guò PLACE # cì ,V’ed to PLACE # times,,我们来过三次中国。,wǒmen lái guò sāncì Zhōngguó。 ,We have been to China three times.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949112
119,2.15.1,Lesson,TIME (就) 要 V 了,TIME ( jiù) yào V le ,about to V in TIME,,下个星期我们(就)要考试了。,xiàgèxīngqī wǒmen( jiù) yào kǎoshì le。 ,We are about to have an exam in just a week.,https://chinesezerotohero.teachable.com/courses/191830/lectures/2949117
120,2.15.2,Lesson,都 TIME/A/V 了,dōu TIME/A/V le ,"It’s already TIME, is already A, has already V’ed",,都8点了，快点儿起床吧。,dōu8 diǎn le， kuàidiǎnr qǐchuáng ba。 ,"It’s already 8, get up quick!",https://chinesezerotohero.teachable.com/courses/191830/lectures/2949116
121,3.01.1,Lesson,V 好,V hǎo ,done V-ing,,饭还没做好，请你等一会儿。,fàn hái méi zuò hǎo， qǐng nǐděng yīhuìr。 ,"The food is not cooked yet, please wait awhile.",https://chinesezerotohero.teachable.com/courses/182498/lectures/2763802
122,3.01.2,Lesson,一 + M + N + 也／都 + 不 + V,yī + M + N + yě／ dōu + bù + V ,not V even one N,,我一个苹果也不吃。,wǒ yī gè píngguǒ yě bù chī。 ,I’m not eating any apples. (Lit. I don’t eat even one apple.),https://chinesezerotohero.teachable.com/courses/182498/lectures/2763808
123,3.01.3,Lesson,那,nà ,so then,,你不去，那我也不去了。,nǐ bù qù， nà wǒ yě bù qù le。 ,"[If] you don’t go, then I won’t go either.",https://chinesezerotohero.teachable.com/courses/182498/lectures/2763809
124,3.01.3,Lesson,那也,nà yě ,but still,,A: 我早就复习好了。B: 那也不能一直玩儿啊。,A: wǒ zǎojiù fùxí hǎole。B: nà yě bùnéng yīzhí wánr ā。 ,"A: I’ve done my reviewed a long time ago already.
B: But still [you] shouldn’t be playing all the time.",https://chinesezerotohero.teachable.com/courses/182498/lectures/2763809
125,3.02.1,Lesson,V1了就 V2,V1 le jiù V2 ,V2 as soon as V1,,爸爸回来了我们就吃饭。,bàba huílai le wǒmen jiù chīfàn。 ,We’ll eat when dad comes back.,https://chinesezerotohero.teachable.com/courses/182498/lectures/2763990
126,3.02.2,Lesson,V 来／去,V lái／ qù ,(complements of direction),,我们在楼上等你呢，你上来吧。,wǒmen zài lóushàng děng nǐ ne， nǐ shànglái ba。 ,"We are upstairs waiting, please come up.",https://chinesezerotohero.teachable.com/courses/182498/lectures/2763993
127,3.02.2,Lesson,V somewhere 来／去,V somewhere lái／ qù ,(complements of direction),,朋友回家去了。,péngyou huíjiā qù le。 ,[My] friend went back home.,https://chinesezerotohero.teachable.com/courses/182498/lectures/2763993
